263,219,3,3,3,1,12482
37,236,2,1,2,2,27172
297,65,2,2,4,2,27172
238,95,2,3,4,5,244000
278,102,2,1,4,5,244000
91,243,3,2,3,4,175520
58,268,2,3,4,1,12482
217,25,3,1,2,1,12482
123,211,3,2,2,3,46740
14,29,1,3,4,3,46740
44,19,3,3,4,1,12482
139,268,3,2,4,4,175520
282,57,3,3,4,3,46740
131,71,3,1,4,4,175520
13,279,3,3,3,1,12482
270,16,1,3,4,2,27172
140,299,3,2,2,4,175520
261,206,1,3,4,2,27172
231,119,2,2,4,4,175520
67,71,3,2,2,2,27172
65,7,3,1,4,4,175520
80,52,3,2,4,3,46740
197,118,2,3,3,2,27172
288,40,1,2,2,4,175520
299,145,1,2,2,3,46740
133,180,2,3,4,2,27172
113,34,1,2,2,5,244000
253,58,2,2,2,2,27172
119,146,2,3,4,3,46740
122,248,1,1,4,2,27172
209,265,2,3,4,3,46740
103,42,1,2,4,2,27172
54,287,2,2,2,4,175520
24,224,1,2,3,1,12482
148,67,2,2,3,4,175520
138,248,2,2,4,3,46740
215,231,1,1,2,1,12482
66,276,3,1,4,2,27172
108,152,1,2,2,4,175520
205,220,1,3,2,4,175520
69,153,1,1,3,4,175520
166,163,3,1,2,3,46740
175,184,2,2,3,1,12482
161,105,3,1,3,2,27172
277,150,2,1,4,4,175520
223,103,1,1,2,5,244000
183,144,2,2,3,5,244000
43,48,2,3,3,1,12482
229,297,1,2,2,3,46740
176,29,2,1,4,2,27172
282,237,2,2,2,4,175520
255,202,3,1,3,2,27172
149,144,2,1,3,4,175520
171,73,3,3,3,3,46740
121,228,1,2,2,5,244000
54,293,2,1,3,3,46740
171,221,3,1,4,5,244000
61,122,3,3,4,4,175520
164,28,1,1,3,1,12482
36,180,2,3,2,3,46740
81,113,3,2,2,2,27172
143,65,3,2,3,2,27172
204,296,1,1,4,4,175520
297,231,2,2,4,1,12482
13,292,1,2,4,2,27172
301,92,1,2,4,1,12482
40,185,2,3,4,3,46740
274,177,1,3,3,1,12482
161,27,2,3,3,3,46740
256,14,1,2,4,1,12482
119,75,3,3,4,3,46740
170,74,1,2,2,5,244000
273,42,1,2,4,1,12482
232,232,1,1,4,2,27172
135,178,3,2,3,1,12482
30,156,2,3,2,5,244000
194,259,3,2,2,5,244000
94,261,1,2,4,5,244000
14,170,1,3,2,1,12482
138,125,3,2,4,3,46740
59,257,1,1,2,1,12482
212,230,2,2,3,2,27172
171,231,1,2,3,5,244000
161,150,2,2,3,4,175520
287,109,1,2,4,2,27172
44,118,3,2,3,1,12482
213,239,1,3,3,5,244000
107,223,2,3,4,3,46740
264,138,1,1,4,4,175520
214,104,1,1,4,1,12482
278,74,3,2,2,5,244000
206,195,1,1,4,2,27172
52,145,2,3,3,3,46740
204,25,2,1,4,4,175520
15,193,3,1,3,1,12482
75,100,2,1,3,2,27172
112,281,3,1,3,4,175520
271,178,2,1,2,2,27172
197,149,1,1,2,2,27172
283,256,3,1,4,5,244000
47,199,2,3,3,3,46740
257,41,1,3,4,2,27172
164,273,2,1,3,3,46740
185,264,3,3,2,3,46740
62,77,1,1,3,1,12482
159,248,1,2,4,2,27172
3,187,1,2,3,5,244000
223,101,2,2,2,4,175520
260,186,2,1,4,1,12482
118,292,3,1,4,2,27172
104,9,2,1,3,1,12482
288,47,3,2,4,5,244000
246,33,2,1,2,5,244000
249,140,3,3,4,2,27172
4,262,3,2,3,3,46740
199,175,3,3,3,5,244000
156,156,3,1,4,5,244000
117,201,3,1,2,1,12482
210,275,2,3,2,3,46740
255,43,1,1,4,3,46740
221,298,2,3,2,1,12482
296,24,2,1,3,1,12482
144,33,2,2,4,4,175520
255,158,3,3,4,4,175520
243,291,3,1,4,5,244000
117,165,2,2,2,3,46740
163,83,1,2,3,4,175520
149,22,1,2,0,1,12482
59,143,3,3,0,2,27172
196,49,1,3,0,1,12482
94,256,3,3,0,5,244000
155,255,3,1,0,5,244000
95,197,2,1,0,3,46740
