106,251,3,2,25,1,0.001,41136
288,170,6,5,20,1,0.001,41136
44,96,7,3,33,2,0.001,123124
122,48,3,1,48,5,0.01,967586
43,289,7,2,21,5,0.01,967586
298,146,6,2,51,4,0.01,685625
257,148,4,6,0,1,0.001,41136
114,221,6,3,4,4,0.01,685625
113,147,2,2,0,4,0.01,685625
245,275,3,3,11,5,0.01,967586
163,23,7,2,0,4,0.01,685625
110,218,3,7,0,1,0.001,41136
79,301,7,1,0,1,0.001,41136
291,135,2,7,34,3,0.005,210333
165,187,5,2,0,2,0.001,123124
55,130,7,3,0,1,0.001,41136
301,10,6,5,20,3,0.005,210333
277,272,5,2,0,4,0.01,685625
183,47,2,4,0,4,0.01,685625
242,256,1,3,3,3,0.005,210333
239,117,5,5,0,5,0.01,967586
154,232,7,5,0,1,0.001,41136
142,301,4,3,0,3,0.005,210333
22,85,4,6,0,4,0.01,685625
285,143,7,1,0,1,0.001,41136
136,250,3,4,0,4,0.01,685625
89,146,1,2,0,4,0.01,685625
115,120,6,7,0,2,0.001,123124
51,240,7,1,0,5,0.01,967586
45,116,6,3,0,3,0.005,210333
51,281,2,1,0,1,0.001,41136
114,260,5,7,0,3,0.005,210333
43,192,4,3,0,2,0.001,123124
272,7,7,6,0,2,0.001,123124
287,160,1,5,0,1,0.001,41136
250,73,3,5,0,2,0.001,123124
3,129,3,4,0,1,0.001,41136
241,155,1,3,0,1,0.001,41136
27,169,5,5,0,3,0.005,210333
154,272,2,2,0,2,0.001,123124
122,42,1,2,0,1,0.001,41136
77,239,5,4,0,5,0.01,967586
217,37,4,2,0,2,0.001,123124
230,40,5,3,0,1,0.001,41136
181,188,2,7,0,1,0.001,41136
24,131,3,5,0,3,0.005,210333
15,189,4,4,0,3,0.005,210333
285,293,6,4,0,4,0.01,685625
277,280,1,7,0,2,0.001,123124
44,258,4,5,0,1,0.001,41136
185,263,4,2,0,1,0.001,41136
88,272,2,1,0,3,0.005,210333
18,212,7,6,0,4,0.01,685625
158,116,6,3,0,5,0.01,967586
186,257,7,5,0,1,0.001,41136
50,4,4,4,0,1,0.001,41136
165,29,6,1,0,5,0.01,967586
176,146,5,3,0,1,0.001,41136
10,285,1,2,0,4,0.01,685625
62,220,6,6,0,2,0.001,123124
178,14,4,6,0,3,0.005,210333
25,162,5,4,0,4,0.01,685625
261,246,1,1,0,5,0.01,967586
6,101,3,5,0,1,0.001,41136
25,261,3,2,0,3,0.005,210333
232,235,1,2,0,4,0.01,685625
103,24,7,2,0,3,0.005,210333
222,278,3,3,0,5,0.01,967586
140,179,6,1,0,2,0.001,123124
129,254,3,1,0,3,0.005,210333
109,110,1,2,0,2,0.001,123124
294,113,3,1,0,3,0.005,210333
103,175,7,5,0,4,0.01,685625
31,42,6,2,0,1,0.001,41136
224,179,4,6,0,1,0.001,41136
32,200,1,1,0,3,0.005,210333
2,250,6,7,0,1,0.001,41136
238,263,3,3,0,5,0.01,967586
247,160,7,3,0,1,0.001,41136
81,138,6,3,0,1,0.001,41136
295,285,3,4,0,5,0.01,967586
218,218,4,1,0,1,0.001,41136
84,234,6,1,0,1,0.001,41136
266,290,5,3,0,2,0.001,123124
41,217,2,7,0,3,0.005,210333
211,136,4,4,0,2,0.001,123124
187,139,3,3,0,3,0.005,210333
41,256,1,2,0,2,0.001,123124
236,146,3,5,0,4,0.01,685625
71,300,1,1,0,5,0.01,967586
216,74,7,5,0,4,0.01,685625
13,55,3,3,0,5,0.01,967586
8,233,7,5,0,5,0.01,967586
19,275,6,4,0,2,0.001,123124
242,187,1,3,0,5,0.01,967586
159,176,1,7,0,2,0.001,123124
94,265,4,3,0,3,0.005,210333
124,147,4,7,0,4,0.01,685625
273,173,7,1,0,3,0.005,210333
276,210,1,2,0,3,0.005,210333
104,32,4,4,0,1,0.001,41136
148,300,7,5,0,5,0.01,967586
7,120,6,4,0,1,0.001,41136
120,93,4,3,0,3,0.005,210333
249,187,2,2,0,4,0.01,685625
218,189,7,5,0,4,0.01,685625
146,2,6,7,0,5,0.01,967586
61,107,2,5,0,1,0.001,41136
103,254,7,3,0,5,0.01,967586
210,12,2,4,0,2,0.001,123124
7,271,1,3,0,4,0.01,685625
249,255,5,7,0,2,0.001,123124
91,282,7,3,0,5,0.01,967586
147,14,6,3,0,1,0.001,41136
42,32,6,2,0,3,0.005,210333
104,80,7,6,0,1,0.001,41136
297,156,3,1,0,3,0.005,210333
242,120,6,3,0,4,0.01,685625
97,161,4,4,0,4,0.01,685625
80,131,4,4,0,3,0.005,210333
11,289,2,7,0,1,0.001,41136
68,234,1,6,0,4,0.01,685625
209,91,3,3,0,2,0.001,123124
125,173,4,1,0,2,0.001,123124
165,119,5,6,0,2,0.001,123124
247,108,3,5,0,2,0.001,123124
220,270,1,7,0,2,0.001,123124
208,59,2,4,0,5,0.01,967586
181,282,3,3,0,1,0.001,41136
18,174,5,5,0,3,0.005,210333
55,23,3,4,0,5,0.01,967586
225,90,1,6,0,4,0.01,685625
175,0,2,3,0,2,0.001,123124
54,275,1,3,0,5,0.01,967586
117,17,4,3,0,2,0.001,123124
11,184,5,5,0,1,0.001,41136
276,153,6,5,0,1,0.001,41136
229,15,5,7,0,5,0.01,967586
92,12,7,6,0,1,0.001,41136
138,28,1,5,0,5,0.01,967586
189,81,2,4,0,5,0.01,967586
150,159,1,4,0,5,0.01,967586
265,163,3,6,0,2,0.001,123124
44,265,1,2,0,5,0.01,967586
59,139,2,2,0,3,0.005,210333
187,45,2,2,0,4,0.01,685625
268,211,4,1,0,1,0.001,41136
96,128,3,2,0,3,0.005,210333
221,218,3,1,0,5,0.01,967586
55,213,1,4,0,2,0.001,123124
278,115,6,5,0,3,0.005,210333
