83,191
27,203
298,115
54,153
228,1
250,87
70,46
192,291
14,226
271,217
221,275
117,92
76,76
273,87
21,7
175,36
108,172
187,36
40,107
124,245
160,2
159,26
232,50
147,274
58,218
251,164
101,300
60,253
167,126
64,67
129,275
229,183
180,289
285,166
48,252
25,25
237,128
8,251
161,137
42,25
148,66
96,37
113,90
166,31
45,73
197,256
94,16
291,127
134,261
219,7
263,174
134,103
161,216
258,158
240,86
229,33
174,301
268,234
233,207
36,175
221,24
38,190
250,46
49,65
126,30
45,155
269,232
120,110
135,13
274,133
267,280
240,190
222,225
199,143
273,124
2,221
264,168
136,221
69,253
72,155
233,154
212,262
194,94
151,54
44,269
116,238
156,217
172,109
247,55
93,93
154,226
9,292
86,148
261,82
283,89
266,13
111,125
244,295
41,105
3,189
25,256
71,125
295,62
286,260
276,298
53,70
197,263
272,148
27,61
168,56
114,142
33,198
92,57
136,86
45,143
234,157
63,230
208,77
280,169
67,293
141,119
50,226
25,76
195,74
198,190
74,75
44,269
260,180
69,177
240,12
17,47
39,274
168,243
